#separator:tab
#html:true
#tags column:3
Welche Teilbereiche der IT-Forensik gibt es?	<ul><li>Datenträger Forensik</li><li>Mobil Forensik</li><li>Netzwerk Forensik</li><li>Mulitmedia Forensik</li><li>Cloud Forensik</li><li>Memory Forensik</li><li>Betriebssystem Forensik</li><li>IoT (Embedded) Forensik</li><li>Malware Forensik</li></ul>	
Welche Aufgaben hat die IT-Forensik?	"<img src=""paste-bac0cae64bbd32835a074e78e1042cfad86b74a7.jpg"">"	
Welche Anforderung an eine Ermittlung gibt es?	<ul><li>Akzeptanz: Es müssen allgemein anerkannte Methoden verwendet werden, deren Verwendbarkeit nicht in Frage gestellt wird.</li><li>Glaubwürdigkeit: Die Analyseschritte müssen nachvollziehbar sein. Die Funktionalität und Robustheit der Methoden muss nachweisbar sein.</li><li>Wiederholbarkeit: Alle durchgeführte Schritte müssen von unabhängigen Dritten wiederholbar sein und die gleichen Ergebnisse liefern.</li><li>Integrität: Die Integrität der Daten muss zu jedem Zeitpunkt gesichert und nachweisbar sein.</li><li>Ursacheund Auswirkung: Durch die Auswahlder Methoden müssen logisch, nachvollziehbare Verbindungen zwischen Personen, Ereignisse und Beweisspuren hergestellt werden.</li><li>Dokumentation: JedeTätigkeit im Prozess muss angemessen dokumentiert werden</li></ul>	
Welche Phasen durchläuft ein Ermittlungsprozess?	<ul><li><b>Vorbereitung der Ermittlung</b>: Die rechtlichen Aspekte müssen betrachtet werden, um Probleme mit Privat-und Datenschutzrechten zuvermeiden.</li><li><b>Sicherstellung:</b> Es erfolgt eine bitweise Kopie der Datenträger relevanter Systeme und die Erstellung eines Images.</li><li><b>Schutz der Beweismittel:</b> Um die Gerichtsverwertbarkeit der Beweismittel zugewährleisten muss die Integrität der Daten sichergestellt werden.</li><li><b>Untersuchungund Bewertung:</b> Die gesicherten Daten werden im nachhinein analysiert und auf ihre Relevanz bewertet.</li><li><b>Dokumentation:</b> Es muss eine laufende Dokumentation angefertigt werden.</li></ul>	
Erkläre das SAP-Modell	"<img src=""paste-53a58bcdf1bb9849e511d16c822c8c3940f2eba9.jpg"">"	
Wie muss mit Beweismitteln umgegangen werden?	"<img src=""paste-328ad459ef32f1e93627adae7d798c15967f821f.jpg"">"	
Welche Arten von Beweismitteln gibt es und was muss mit diesem passieren?	<b>Arten von Beweismitteln</b><br><b>Physikalische</b><br><ul><li>Dokumente</li></ul><b>Elektronische</b><br><ul><li>Flüchtige, fragile und temporär zugreifbare Daten</li><li>Persistente Daten</li></ul><b>Die Sicherstellung alle Beweismittel muss dokumentiert werden</b><br><ul><li>Anfertigung von Beweismitteldokumentation</li><li>Erstellung einer Beweismittelliste</li><li>Protokollierung der Arbeitsschritte</li><li>Protokollierung der Verwendungsvorgänge</li></ul>	
Welche Internaltionale Standards gibtes für die Beweissicherung?	"<img src=""paste-37c52c8f33d2374b64001fdaa1190444844a25da.jpg"">"	
Was sagt die ISO/IEC 27037 zur Identifikation, Sammlung, Erhebung und Erhaltung der digitalen Beweissicherung?	"<img src=""paste-70a28f5e9feeca22b7da01a9625cedf91ede5fa3.jpg"">"	
Welche Indizien und Spuren im Kontext eines IT-Systems gibt es und welche Abstraktionsgrade gibt es?	<b>Indizien, Spuren im Kontext eines IT-Systems</b><br><ul><li>Computer, Smartphone, HDD, SSD, RAM, USB-Stick, SD-Karte, Router, Firewall, Accesspoint, Cloud-Dienste, Mailserver etc.</li></ul><b>Abstraktionsgrade:</b><br><ul><li>Anwendungsebene: Applikationsdaten (z.B. Word, Browser).</li><li>Dateisystemebene: Dateisystem (z.B. NTFS).</li><li>Datenträgerebene: Partitionen</li><li>Rohdaten: Bits und Bytes</li><li>Physische Spur: (Staub ;))</li></ul><br><b>Daten (Spuren / Artefakte) müssen korrekt interpretiert werden!</b><br>	
Was kann analysiert werden?	"<img src=""paste-8a137a5e2b1243a704a81ab0819630a7f5f648c7.jpg"">"	
